date,source,title,address,borough,developers,url
2026-06-07,DOB NOW: Build – Approved Permits,Foundation,KINGSTON PLACE,QUEENS,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,BLEECKER STREET,MANHATTAN,Swati Raolji,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,EAST 223 STREET,BRONX,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,ELDER AVENUE,STATEN ISLAND,NELLO DEVELOPMENT CORP,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,30 DRIVE,QUEENS,SANVITO REALTY HOLDING CO,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,WOODBINE STREET,BROOKLYN,NYC SCHOOL CONSTRUCTION AUTHORITY,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Full Demolition,EDGEWATER PARK,BRONX,NONE,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,REMSEN STREET,BROOKLYN,30 REMSEN STREET APARTMENTS CORPORA,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,WEST   96 STREET,MANHATTAN,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Full Demolition,55 STREET,BROOKLYN,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,DENNETT PLACE,BROOKLYN,14dennett123LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,AVENUE D,BROOKLYN,ATARI REALTY,https://data.cityofnewyork.us/resource/rbx6-tga4.json
